Date,New Cases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
09-03-2020,2.0,0.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,23.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0,49.0
10-03-2020,0.0,0.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0,39.0
11-03-2020,0.0,0.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,25.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0,34.0
12-03-2020,0.0,0.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0,42.0
13-03-2020,1.0,0.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,24.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0,46.0
14-03-2020,0.0,0.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,26.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0,54.0
15-03-2020,0.0,0.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,23.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0,63.0
16-03-2020,0.0,0.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,24.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0,53.0
17-03-2020,0.0,0.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,25.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0,42.0
18-03-2020,0.0,0.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0,44.0
